Fish Curry,$10.00,Spice N Flavor,$,000000039.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/ESlLye7x658PJPxQjUQjow/258s.jpg
Kappa and Tapioca Saute with Salmon Curry,$9.50,Spice N Flavor,$,000000040.jpg,https://s3-media4.fl.yelpcdn.com/bphoto/vl8CIOUTiMZ_hSDKZY7PBA/258s.jpg
Vegetable Curry,$8.00,Spice N Flavor,$,000000041.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/OmU7ywmMTzVPaYYyiQkOpg/258s.jpg
Pepper Chicken,$10.00,Spice N Flavor,$,000000042.jpg,https://s3-media4.fl.yelpcdn.com/bphoto/x_IaoFsZRrfSAXTAnTv_lw/258s.jpg
Chicken Curry Meal,$9.00,Spice N Flavor,$,000000043.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/beRcqmuz4yfr13swxtT-Mw/258s.jpg
Shrimp Curry,$12.00,Spice N Flavor,$,000000044.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/Vrs76o-EYliD7DBLs6pRCg/258s.jpg
Dry Chicken Fry Meal,$9.50,Spice N Flavor,$,000000045.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/Ga9Heyc0h4BXAiV8xjzfng/258s.jpg
Lentil Soup,$3.50,Cafe Eden,$$,000000046.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/JOVxFEwzuFYvKcIg_zZ5gg/258s.jpg
Baklava,$3.00,Cafe Eden,$$,000000047.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/A4khdG6Wvx5O-yDAyBZyAA/258s.jpg
Chicken Shish-tawouk Platter,$15.00,Cafe Eden,$$,000000048.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/wJ6eJBoFwaPETdl_xFKz8w/258s.jpg
Falafel Platter,$13.00,Cafe Eden,$$,000000049.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/yRcj7qaWbSX9TP-QN90oFw/258s.jpg
Beef Shawarma Wrap,$11.00,Cafe Eden,$$,000000050.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/F9Qe1muP0OaGoEF_SbIRHQ/258s.jpg
Shawarma Chicken Platter,$14.00,Cafe Eden,$$,000000051.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/mKftHfzXXKGsRslJk2DL-w/258s.jpg
Chicken Shawarma Wrap,$10.00,Cafe Eden,$$,000000052.jpg,https://s3-media4.fl.yelpcdn.com/bphoto/cHJWkNJ2pJ_ojNn_lBBo4g/258s.jpg
